n,B,U,L,C,D,D-C
1000,38.42,369.3,5.5,7542.28,9721.24,2178.96
2000,54.84,736.22,5.8,16293.3,21441.2,5147.94
3000,72.14,1102.1,6.06,26432.5,32996.2,6563.76
4000,73.92,1477.28,6,36034.7,45735.4,9700.74
5000,97.12,1836.16,6.46,44622.1,56768.2,12146.1
6000,107.68,2206.74,6.36,57000.2,70073.3,13073.1
7000,108.1,2574.8,6.38,64983.1,86272.4,21289.3
8000,116.18,2938.88,6.5,76356.9,94929.8,18572.9
9000,117.72,3322.2,6.62,84719.4,105414,20694.2
10000,119.68,3683.52,6.54,98871.1,123500,24628.8
11000,137.08,4049.28,6.76,109160,139964,30803.9
12000,131.94,4406.56,6.7,118709,150419,31709.9
13000,139.4,4785.16,6.8,132104,164715,32611.2
14000,154.5,5145.26,6.76,141958,178608,36649.4
15000,151.4,5517.56,6.78,151414,190140,38726.2
16000,153.56,5883.38,6.9,162110,201845,39734.3
17000,155.22,6253.98,6.92,178782,216549,37767.3
18000,170.22,6618.8,6.86,189801,235370,45568.9
19000,201.1,6981.76,7.14,197088,250569,53481.6
20000,179.32,7369.84,6.98,207389,262925,55536.2
21000,185.6,7735.3,7.02,224209,278765,54555.8
22000,188.04,8086.32,6.9,229836,290408,60571.7
23000,176.78,8462.74,6.96,244563,303934,59371.6
24000,180.86,8832.14,7.04,266708,316470,49762.6
25000,197.26,9190.58,7.22,261376,334129,72752.9
26000,227.36,9574.36,7.14,275241,346196,70954.8
27000,211.04,9936.14,7.16,292088,367217,75128.8
28000,207.42,10295.5,7.26,301020,379835,78815
29000,212.36,10661.3,7.22,309348,397200,87851.7
30000,221.7,11023,7.28,327419,405935,78516.1
31000,216.48,11405.3,7.26,337861,422441,84580.1
32000,220.84,11774.6,7.4,353440,442557,89116.6
33000,228.3,12130.4,7.24,361085,446009,84924.2
34000,211.12,12501.7,7,372194,463660,91465.9
35000,230.32,12892.6,7.2,388792,486117,97325.1
36000,239.2,13257,7.32,393456,489979,96522.8
37000,224.08,13603.3,7.22,404886,503855,98968.4
38000,231.76,13990.8,7.28,430245,533773,103528
39000,256.6,14339.2,7.28,433283,532263,98979.8
40000,258.7,14705.9,7.32,438035,553055,115020
41000,246.06,15065.3,7.48,472852,584103,111251
42000,279.3,15448.7,7.3,466139,580728,114589
43000,268.36,15800.3,7.36,468377,596140,127763
44000,244.72,16180.1,7.3,494947,601067,106120
45000,269.22,16554.4,7.52,488038,615798,127760
46000,243.7,16929.5,7.34,531228,655685,124457
47000,280.5,17279.1,7.42,528029,641237,113208
48000,292.68,17643.4,7.3,539361,676479,137117
49000,265.62,18025.6,7.46,576319,682571,106252
50000,276.78,18398.2,7.48,571901,697692,125790
51000,266.38,18758.2,7.52,582638,711572,128934
52000,306.54,19124.9,7.44,585065,723665,138600
53000,286.58,19486.6,7.28,598728,748924,150196
54000,277.8,19879.5,7.4,612496,755721,143225
55000,315.36,20233.7,7.44,625660,783153,157493
56000,290.16,20616.8,7.5,616484,790129,173645
57000,344.02,20960.9,7.52,656611,826557,169946
58000,321.18,21350.8,7.56,678443,823507,145064
59000,337.74,21698.4,7.42,691085,853036,161951
60000,348.48,22082.2,7.48,694322,864970,170648
61000,314.8,22441.2,7.58,706360,868952,162592
62000,340.84,22807.3,7.4,712035,889183,177147
63000,286.12,23173.5,7.48,725679,889598,163919
64000,305.32,23527.8,7.58,747510,917902,170392
65000,306.04,23900.1,7.48,755399,931495,176096
66000,279.56,24271.2,7.62,758843,945323,186480
67000,328.44,24638.4,7.6,792786,980439,187653
68000,331.72,25000.4,7.7,790804,1.00818e+06,217373
69000,329.82,25387.8,7.6,799079,1.00873e+06,209652
70000,315.36,25751.1,7.66,821402,1.01777e+06,196370
71000,328.58,26132.3,7.56,828106,1.00537e+06,177260
72000,345,26484.1,7.42,872682,1.06412e+06,191438
73000,355.42,26859.1,7.44,882387,1.05688e+06,174489
74000,351,27229.8,7.58,857222,1.05929e+06,202064
75000,336.86,27587.1,7.68,888015,1.08008e+06,192062
76000,377.78,27972.5,7.56,894565,1.09438e+06,199818
77000,383,28329.5,7.64,905062,1.12329e+06,218230
78000,367.86,28684.9,7.64,921358,1.13193e+06,210567
79000,318.96,29062.4,7.62,945909,1.16044e+06,214534
80000,349.28,29425,7.4,944710,1.17437e+06,229658
81000,321.24,29787,7.62,961549,1.22004e+06,258488
82000,357.96,30155.9,7.82,979877,1.21172e+06,231840
83000,412.08,30527.6,7.62,974006,1.23484e+06,260837
84000,365.98,30891.8,7.52,991464,1.22649e+06,235031
85000,398.32,31252.8,7.5,1.03059e+06,1.22471e+06,194122
86000,382.48,31648.3,7.66,1.00672e+06,1.27194e+06,265224
87000,388.24,32032.5,7.66,1.04694e+06,1.28315e+06,236206
88000,386.86,32376.3,7.64,1.07263e+06,1.30519e+06,232555
89000,383.86,32727.1,7.62,1.03547e+06,1.30575e+06,270279
90000,334.62,33109,7.56,1.10834e+06,1.33038e+06,222043
91000,388.72,33508.6,7.74,1.10317e+06,1.33801e+06,234838
92000,378.64,33836,7.76,1.09519e+06,1.31549e+06,220298
93000,333.38,34223,7.7,1.1404e+06,1.39269e+06,252296
94000,427.22,34586.7,7.86,1.10859e+06,1.36639e+06,257805
95000,400.82,34953.5,7.62,1.15397e+06,1.39665e+06,242682
96000,341.6,35303.6,7.72,1.13803e+06,1.41498e+06,276958
97000,385.18,35685.4,7.82,1.16145e+06,1.46814e+06,306692
98000,364,36080,7.72,1.16548e+06,1.44769e+06,282214
99000,357.52,36431,7.84,1.19186e+06,1.45121e+06,259351
100000,387.68,36796.3,7.78,1.19489e+06,1.47606e+06,281170
