n,blad
0,0.42768665270466855
1,0.6121437007991494
2,1.3387385610070992
3,1.6560615341906235
4,1.7893889656398818
5,1.8481323709716526
6,1.875342590815875
7,1.8883859479051162
8,1.8947646032525967
9,1.8979178576987352
10,1.8994854272987358
11,1.9002669428012937
12,1.9006571326181874
13,1.9008520854668745
14,1.9009495263667628
15,1.9009982379344046
16,1.9010225914975019
17,1.90103476772385
18,1.9010408556982221
19,1.9010438996507073
20,1.9010454216182744
21,1.9010461825998899
22,1.9010465630901545
23,1.9010467533351516
24,1.9010468484576166
25,1.9010468960188405
26,1.9010469197994504
27,1.9010469316897542
28,1.9010469376349062
29,1.9010469406074826
30,1.9010469420937706
31,1.9010469428369148
32,1.9010469432084864
33,1.9010469433942725
34,1.9010469434871653
35,1.9010469435336121
36,1.9010469435568353
37,1.901046943568447
38,1.901046943574253
39,1.9010469435771555
40,1.9010469435786068
41,1.901046943579333
42,1.9010469435796957
43,1.901046943579877
44,1.901046943579968
45,1.9010469435800132
46,1.901046943580036
47,1.901046943580047
48,1.9010469435800528
49,1.9010469435800559
50,1.9010469435800572
51,1.9010469435800577
52,1.901046943580058
53,1.9010469435800585
54,1.9010469435800585
