n,error_inverse,error_gauss
2,1.1240151438116956e-15,5.661048867003676e-16
3,9.825526038180824e-15,8.351061872731819e-15
4,3.9600008750140806e-13,4.2267316576255873e-13
5,8.128168770215688e-12,1.256825919192874e-12
6,1.0423794065751672e-10,1.5435074657413347e-10
7,4.3299229851434615e-9,6.520804933066021e-9
8,4.0236799996435915e-7,3.6010489197068436e-7
9,1.4626798972086921e-5,1.3216991540025553e-5
10,0.00040714905218460087,0.0004194170177181955
11,0.010645959401385671,0.01004906783345069
12,0.6697890564301745,0.5502106922296848
13,82.66675811171989,70.1556197115221
14,10.094732062453225,9.649642437452474
15,715.740988667373,692.4295360390742
16,8.442143351389534,10.414656083840297
17,17.157982115668773,18.67581817300634
18,3.742412802776696,5.40548300394664
19,16.84769281513296,15.073941146224387
20,30.751202239608727,28.79267493699834
21,2333.664337044678,1824.2629581352649
22,14886.975860025157,19138.577452992115
23,47.65132347528787,48.016565072622186
24,19.5192223382517,9.597750989654513
25,52.47720466798266,24.17187724650818
26,12.748155037415431,11.129978329855208
27,132.55118714543525,55.63396491601018
28,56.20298701836554,54.66294822240795
29,18.082557101050654,25.888760818983354
30,42.955505801379765,26.115729128673923
31,18.503177227762226,19.54017353539651
32,26.725148782903403,39.17196356822023
33,27.6391758397771,23.30473194086269
34,30.29055306661658,21.474319758450516
35,19.722830801598374,26.984466784369342
36,85.87252345521472,13.982191217853398
37,63.32505945417939,73.16947074662936
38,31.75069415740596,32.232393224309874
39,95.48907239399331,107.13714880760796
40,145.01884403353773,61.7609964256655
41,40.26499799891675,41.859833575980275
42,157.20522153767536,44.00612424472952
43,53.41905440087137,12.520199326152994
44,47.20236122378055,56.0057388646591
45,139.39186957491486,146.15720115867393
46,151.22129751773156,81.79652948321744
47,91.57717274185963,42.0282920782472
48,325.0501003050663,216.95964259924537
49,217.0869721156826,156.10765737071156
50,39.18959455818103,32.07262193741472
51,44.41286052531586,43.94336980518899
52,127.28935145514217,81.29707438502655
53,60.6130842685182,59.770841698017925
54,5223.442438047699,5449.922847807472
55,81.28383248919242,95.53271887554016
56,22.15788862858671,24.477009718431827
57,43.2681379332462,21.516935948837858
58,27.24012389496192,30.573004384060354
59,57.16062324289888,49.17697222781218
60,46.15201653845582,33.09338142115874
61,48.30308851917968,42.998694216079485
62,136.23615349424963,81.63971155003034
63,367.65163481611364,316.15860416474635
64,63.12170452968756,90.04559642734009
65,51.41167097825947,31.768593577295665
66,315.576481834743,237.12251019550183
67,45.15456061365725,26.844319201649984
68,48.17380312213228,44.67951539258711
69,98.8113313251887,129.3793101936805
70,244.39972882406212,243.21337670243153
71,45.253151777933006,48.51472236273297
72,181.36813443518642,163.7033567137672
73,53.5369371238034,48.83787478859028
74,4558.818110355521,4766.449580284883
75,80.08098603881724,90.19152227966909
76,121.37460924414786,116.28766234528437
77,459.0888848495115,420.7105651748405
78,179.85029657218487,91.14710424474075
79,170.12259554731477,223.81420574991688
80,229.9703038309,377.7287893096757
81,77.92782319748517,59.70675480610745
82,109.83879960339878,74.77813202451154
83,77.82228878177995,39.73808474161492
84,140.43768318750065,52.159993178182404
85,258.0445056286602,542.8999825168514
86,58.12430085901491,43.48565990314109
87,108.85852182063412,76.75206139186787
88,136.5284328998548,124.07808865564657
89,474.6120725547626,345.5401449280229
90,424.91180631198256,88.1568987524405
91,131.41851742420863,78.37184987589191
92,259.28344161569066,61.867889303649356
93,53.06189204766757,37.93838302991998
94,167.42381327311466,95.96515190092792
95,840.4703172515168,724.2703873910791
96,1503.8634479874393,1749.7480439717706
97,580.3383049374593,768.1016520330467
98,128.4470000879229,66.17160865570484
99,1426.8132685479663,1437.7898321587518
100,13474.29533372197,4244.682381281141
