n,aaa,abb,avg_aaa
5,2529,3773,0.3834
6,3143,4830,0.5
7,3623,5743,0.6112
8,4166,6585,0.7496
9,4676,7181,0.8862
10,4991,7742,0.9709
11,5453,8176,1.1178
12,5891,8530,1.2675
13,6183,8809,1.3957
14,6449,9005,1.4915
15,6786,9170,1.6465
16,7059,9346,1.7531
17,7248,9514,1.8482
18,7463,9562,1.9759
19,7736,9661,2.1356
20,7918,9693,2.2481
21,8036,9751,2.3707
22,8168,9826,2.4991
23,8375,9854,2.648
24,8466,9903,2.76
25,8640,9901,2.9209
26,8707,9924,2.9866
27,8833,9946,3.1169
28,8898,9940,3.2348
29,9038,9953,3.3669
30,9072,9969,3.4543
31,9138,9981,3.6474
32,9209,9974,3.7071
33,9272,9980,3.8778
34,9288,9991,3.9624
35,9377,9988,4.1372
36,9416,9991,4.2176
37,9482,9994,4.3831
38,9530,9993,4.4812
39,9603,9997,4.6289
40,9587,9995,4.7681
41,9597,9998,4.8712
42,9663,9997,5.009
43,9685,9996,5.0955
44,9735,9999,5.2094
45,9736,9998,5.3687
46,9754,10000,5.5207
47,9773,10000,5.6304
48,9796,9999,5.7047
49,9815,10000,5.8968
